Column 1	Column 2
Tom's French isn't perfect.	Французька Тома не досконала.
Tom's car is in the garage.	Машина Тома в гаражі.
Tom's car is in the garage.	Машина Тома на ремонті.
Tom's cat had nine kittens.	Кішка Тома народила дев'ять кошенят.
Tom's death was a homicide.	Тома було вбито.
Tom's death was mysterious.	Смерть Тома була загадковою.
Tom's dog is very obedient.	Собака Тома дуже слухняний.
Tom's dog swims quite well.	Собака Тома досить добре плаває.
Tom's dog's name is Cookie.	Собаку Тома звати Кукі.
Tom's dog's name is Cookie.	Собаку Тома звати Печенька.
Tom's father is a musician.	Батько Тома — музикант.
Tom's father was a teacher.	Батько Тома був учителем.
Tom's feet were very dirty.	У Тома були дуже брудні ноги.
Tom's got a weight problem.	У Тома проблема із зайвою вагою.
Tom's grades are excellent.	У Тома чудові оцінки.
Tom's hands are very dirty.	У Тома дуже брудні руки.
Tom's last name is Jackson.	Прізвище Тома - Джексон
Tom's laughter is annoying.	Сміх Тома дратує.
Tom's name was on the list.	Ім'я Тома було у списку.
Tom's not from around here.	Том не місцевий.
Tom's parents are divorced.	Батьки Тома розлучені.
Tom's parents are teachers.	Батьки Тома — вчителі.
Tom's parents believed him.	Батьки Тома вірили йому.
Tom's parents believed him.	Батьки Тома повірили йому.
Tom's parents died in 2013.	Батьки Тома померли у 2013.
Tom's parents died in 2013.	Батьки Тома померли у дві тисячі тринадятому році.
Tom's parents were baffled.	Батьки Тома були збиті з пантелику.
Tom's parents were baffled.	Батьки Тома були спантеличені.
Tom's parents were doctors.	Батьки Тома були лікарями
Tom's parents were lawyers.	Батьки Тома були адвокатами.
Tom's parents were shocked.	Батьки Тома були в шоці.
Tom's parents were shocked.	Батьки Тома були шоковані.
Tom's parents weren't home.	Батьків Тома не було вдома.
Tom's plan actually worked.	План Тома насправді спрацював.
Tom's plan isn't very good.	План Тома не дуже добрий.
Tom's plan seemed the best.	Том плана видавався найкращим.
Tom's plan wasn't any good.	План Тома нікуди нікуди не годився.
Tom's problems aren't over.	Проблеми у Тома ще не закінчилися.
Tom's resume is impressive.	У Тома вражаюче резюме.
Tom's success motivated me.	Успіх Тома мотивував мене.
Tom's success motivated me.	Успіх Тома змотивував мене.
Tom's troubles aren't over.	Проблеми у Тома ще не закінчилися.
Tom's wife is hard-working.	Дружина Тома працелюбна.
Tom's wife is hard-working.	У Тома працелюбна жінка.
Tom, I want to talk to you.	Томе, я хочу з тобою поговорити.
Tom, I want to talk to you.	Томе, я хочу з вами поговорити.
Tom, I want to talk to you.	Томе, я хочу з тобою побалакати.
Tom, I want to talk to you.	Томе, я хочу з вами побалакати.
Tom, you need to calm down.	Томе, тобі потрібно заспокоїтися.
Tom, you need to calm down.	Томе, вам потрібно заспокоїтися.
Tom, your life's in danger.	Томе, твоє життя у небезпеці.
Tom, your life's in danger.	Томе, ваше життя у небезпеці.
Tomorrow he'll play tennis.	Завтра він гратиме в теніс.
Tomorrow is Tom's birthday.	Завтра день народження Тома.
Trash belongs in the trash.	Сміттю місце серед сміття.
Turn off the light, please.	Будь ласка, вимкни світло.
Vegetarians don't eat meat.	Вегетаріанці не їдять м'ясо.
Wait for your turn, please.	Зачекайте на свою чергу, будь ласка.
Wait here till I come back.	Дочекайся мене.
Wait here till I come back.	Почекай тут, поки я не повернуся.
Wait here till I come back.	Почекайте тут, поки я не повернуся.
Wait here until I get back.	Зачекай тут, допоки я не повернуся.
Wait here until I get back.	Зачекайте тут, допоки я не повернуся.
Wait until your turn comes.	Чекай на свою чергу.
Walking is a good exercise.	Ходити пішки - добра вправа.
War began five years later.	Війна розпочалася через п'ять років.
Was Tom having a good time?	Тому було весело?
Was that part of your plan?	Це було частиною твого плану?
Was that part of your plan?	Це було частиною вашого плану?
We accepted his invitation.	Ми прийняли його запрошення.
We agreed to work together.	Ми погодилися працювати разом.
We all die sooner or later.	Рано чи пізно ми всі помремо.
We all hope that I'm right.	Ми всі сподіваємося, що я маю рацію.
We all know Tom didn't win.	Ми всі знаємо, що Том не переміг.
We all know Tom didn't win.	Ми всі знаємо, що Том не виграв.
We all know where you live.	Ми всі знаємо, де ти живеш.
We all know where you live.	Ми всі знаємо, де ви живете.
We already know each other.	Ми вже знайомі.
We also went to the temple.	А ще ми ходили в храм.
We always have to pay more.	Ми повинні завжди платити більше.
We are about to leave here.	Ми вже скоро підемо звідси.
We aren't going to do that.	Ми не робитимемо цього.
We asked everybody to help.	Ми всіх попросили про допомогу.
We both know it's too late.	Ми обидва знаємо, що вже запізно.
We both know it's too late.	Ми обидві знаємо, що вже запізно.
We both know it's too late.	Ми обидва знаємо, що вже занадто пізно.
We both know it's too late.	Ми обидві знаємо, що вже занадто пізно.
We can change this country.	Ми можемо змінити цю країну.
We can get there by subway.	Ми туди можемо доїхати на метро.
We can get there by subway.	Ми можемо туди доїхати на метро.
We can still win this game.	Ми ще можемо виграти цю гру.
We can talk in the morning.	Можемо побалакати вранці.
We can't blame Tom, can we?	Ми ж не можемо звинувачувати Тома?
We can't do the impossible.	Ми не можемо зробити неможливе.
We can't give you anything.	Ми не можемо тобі нічого дати.
We can't let them kill Tom.	Ми не можемо дозволити їм вбити Тома.
We can't let you sing here.	Ми не можемо дозволити тобі тут співати.
We can't understand French.	Ми не розуміємо французькою.
We can't understand French.	Ми не розуміємо французької.
We celebrated his birthday.	Ми відсвяткували його день народження.
We celebrated his birthday.	Ми святкували його день народження.
We chose Tom to be captain.	Ми обрали Тома капітаном.
We could make potato salad.	Ми могли би зробити картопляний салат.
We didn't actually do that.	Насправді, ми цього не зробили.
We didn't change the rules.	Ми не міняли правила.
We didn't change the rules.	Ми не змінювали правила.
We didn't get on the train.	Ми не сіли до потягу.
We don't care what he does.	Нам байдуже, що він робить.
We don't care what he does.	Нам байдуже, чим він займається.
We don't have a television.	У нас немає телевізора.
We don't have a television.	Ми не маємо телевізора.
We don't have any gas left.	У нас більше не лишилося бензину.
We don't have any gas left.	У нас більше не лишилося газу.
We don't have enough bombs.	У нас недостатньо бомб.
We don't have enough bombs.	Ми не маємо достатньо бомб.
We don't have enough money.	У нас недостатньо грошей.
We don't have lots of time.	У нас не дуже багато часу.
We don't have that anymore.	У нас цього вже немає.
We don't know the Jacksons.	Ми не знаємо Джексонів.
We don't know where Tom is.	Ми не знаємо, де Том.
We don't know who did that.	Ми не знаємо, хто це зробив.
We don't understand French.	Ми не розуміємо французькою.
We don't want Tom to leave.	Ми не хочемо, аби Том пішов.
We exchanged phone numbers.	Ми обмінялися телефонними номерами.
We exchanged phone numbers.	Ми обмінялися телефонами.
We expected Tom to do that.	Ми очікували, що Том це зробить.
We gather here once a week.	Ми збираємося тут раз на тиждень.
We had a wonderful weekend.	Ми чудово провели вихідні.
We had to wait three hours.	Ми були змушені чекати протягом трьох годин.
We have a really good cook.	У нас є насправді добрий кухар.
We have breakfast at seven.	Ми снідаємо о сьомій.
We have breakfast at seven.	Сніданок в нас о сьомій годині.
We have different opinions.	У нас різні поляди.
We have different opinions.	Ми маємо різні погляди.
We have lofty expectations.	У нас високі очікування.
We have nice weather today.	У нас сьогодні гарна погода.
We have no school tomorrow.	Завтра в нас немає уроків.
We have no school tomorrow.	Завтра у нас немає уроків.
We have only one objective.	У нас лише одна ціль.
We have only one objective.	У нас лише одна мета.
We have the best team ever.	У нас сама найкраща команда.
We have to be more careful.	Ми маємо бути більш обережними.
We have to be very careful.	Ми маємо бути дуже обережними.
We have to change our plan.	Ми повинні змінити свій план.
We have to make a decision.	Ми маємо прийняти рішення.
We have to start right now.	Ми мусимо розпочати просто зараз.
We hope to avoid bloodshed.	Ми сподіваємося уникнути кровопролиття.
We hope to find a solution.	Ми сподіваємося знайти рішення.
We hope you find it useful.	Сподіваюся, це тобі знадобиться.
We just need a little time.	Нам просто потрібно трохи часу.
We just want a little help.	Нам лише потрібна невелика допомога.
We just wanted you to know.	Ми просто хотіли, щоб ти знав.
We just wanted you to know.	Ми просто хотіли, щоб ти знала.
We just wanted you to know.	Ми просто хотіли, щоб ви знали.
We know Tom didn't do that.	Ми знаємо, що Том цього не робив.
We know something about it.	Ми щось про це знаємо.
We know what we have to do.	Ми знаємо, що маємо робити.
We know what we have to do.	Ми знаємо, що нам потрібно робити.
We learn English at school.	Ми вивчаємо англійську в школі.
We learned a lot of things.	Ми багато чого дізналися.
We like playing in the mud.	Нам подобається гратися в багні.
We like playing in the mud.	Нам подобається бавитися у багнюці.
We live near a big library.	Ми живемо поруч із великою бібліотекою.
We live near a big library.	Ми живемо неподалік від великої бібліотеки.
We live on the third floor.	Ми живемо на третьому поверсі.
We live on the third floor.	Ми живемо на четвертому поверсі.
We make a really good team.	Ми утворюємо справді добру команду.
We may have missed the bus.	Ми, може бути, спізнилися на автобус.
We must do this more often.	Ми повинні робити це частіше.
We need a little more time.	Нам треба трохи більше часу.
We need a little more time.	Ми потребуємо ще трохи часу.
We need actions, not words.	Потрібні дії, а не слова.
We need to be very careful.	Ми маємо бути дуже обережними.
We need to do that by 2:30.	Нам потрібно це зробити до 2:30.
We need to have a contract.	Нам потрібен контракт.
We need to help each other.	Ми повинні допомогти одне одному.
We need to help each other.	Ми повинні допомагати одне одному.
We often went there to eat.	Ми туди часто ходили, щоб поїсти.
We only had a little water.	У нас було лише трохи води.
We only had a little water.	У нас була лише невелика кількість води.
We painted the house green.	Ми пофарбували будинок в зелене.
We painted the house green.	Ми пофарбували будинок зеленим.
We painted the house green.	Ми пофарбували будинок зеленою фарбою.
We persuaded him not to go.	Ми переконали його не йти.
We played golf last Monday.	Ми грали в гольф минулого понеділка.
We played soccer yesterday.	Ми вчора грали в футбол.
We played tennis yesterday.	Учора ми грали в теніс.
We really did go to Boston.	Ми насправді їздили до Бостона.
We rested there for a week.	Ми відпочивали там тиждень.
We sat in complete silence.	Ми сиділи в повній тиші.
We see what we want to see.	Ми бачимо те, що бажаємо бачити.
We should always obey laws.	Ми повинні завжди дотримуватися законів.
We should do that together.	Нам треба зробити це разом.
We sometimes make mistakes.	Ми іноді помиляємося.
We sometimes make mistakes.	Ми іноді робимо помилки.
We sometimes make mistakes.	Ми інколи робимо помилки.
We sometimes make mistakes.	Ми інколи помиляємося.
We talked in sign language.	Ми розмовляли мовою жестів.
We usually work on Mondays.	Ми зазвичай працюємо у понеділок.
We walked along the street.	Ми йшли уздовж вулиці.
We want to buy a new house.	Ми хочемо купити новий будинок.
We want to go to Australia.	Ми хочемо поїхати до Австралії.
We want to go to Australia.	Ми хочемо до Австралії.
We want you to sing a song.	Ми хочемо, щоб ти заспівав пісню.
We want you to sing a song.	Ми хочемо, щоб ти заспівала пісню.
We want you to sing a song.	Ми хочемо, щоб ви заспівали пісню.
We went shopping yesterday.	Учора ми ходили по магазинах.
We went to Boston by plane.	Ми полетіли до Бостона літаком.
We went to Boston together.	Ми поїхали до Бостона разом.
We went to Boston together.	Ми разом поїхали до Бостона.
We went to school together.	Ми разом ходили до школи.
We went to school together.	Ми пішли до школи разом.
We went to the same church.	Ми ходили до тієї самої церкви.
We went to the same church.	Ми пішли до тієї самої церкви.
We were at school together.	Ми разом навчалися у школі.
We were listening to music.	Ми слухали музику.
We were trying to help Tom.	Ми намагалися допомогти Тому.
We were trying to help you.	Ми намагалися тобі допомогти.
We were trying to help you.	Ми намагалися вам допомогти.
We were with Tom yesterday.	Ми вчора були з Томом.
We were with Tom yesterday.	Учора ми були з Томом.
We weren't able to do that.	Ми не змогли цього зробити.
We weren't cautious enough.	Ми були недостатньо обережні.
We weren't told what to do.	Нам не сказали, що робити.
We won't be able to escape.	Ми не зможемо втікти.
We won't be able to escape.	Нам не втікти.
We won't go to Tom's party.	Ми не підемо на вечірку Тома.
We'd better not get caught.	Нам краще не попадатися.
We'd sure like to help Tom.	Ми, звичайно, хотіли би допомогти Тому.
We'll have to do that, too.	Ми також повинні будемо це зробити.
We'll never know the truth.	Ми ніколи не дізнаємося правди.
We'll see each other later!	Побачимось пізніше!
We'll show them who we are.	Ми їм покажемо, хто ми такі.
We're about to have dinner.	Ми збираємося вечеряти.
We're almost home now, Tom.	Ми вже майже вдома, Томе.
We're almost like brothers.	Ми майже як брати.
We're beginning to see why.	Ми починаємо розуміти чому.
We're extremely optimistic.	Ми надзвичайно оптимістично настроєні.
We're going back to Boston.	Ми повертаємося до Бостона.
We're going back to basics.	Ми повертаємося до основ.
We're going out for a walk.	Ми йдемо на прогулянку.
We're going out for a walk.	Ми йдемо надвір прогулятися.
We're going to Tom's party.	Ми йдемо на вечірку Тома.
We're going to play tennis.	Ми будемо грати в теніс.
We're going to play tennis.	Ми пограємо в теніс.
We're going to play tennis.	Ми зіграємо в теніс.
We're going to play tennis.	Ми гратимемо в теніс.
We're going to the kitchen.	Ми йдемо на кухню.
We're going to the theater.	Ми йдемо до театру.
We're grateful to be alive.	Ми вдячні за те, що живі.
We're high school students.	Ми учні старшої школи.
We're high school students.	Ми старшокласники.
We're looking for a lawyer.	Ми шукаємо адвоката.
We're lucky Tom isn't here.	Нам пощастило, що Тома тут немає.
We're making a big mistake.	Ми робимо велику помилку.
We're not going to do that.	Ми цього не робитимемо.
We're not going to do that.	Ми не будемо цього робити.
We're not going to sell it.	Ми його не продамо.
We're not going to sell it.	Ми її не продамо.
We're not on the same team.	Ми не в одній команді.
We're not on the same team.	Ми в різних командах.
We're prepared for a fight.	Ми готові до битви.
We're prepared for a fight.	Ми готові до бійки.
We're prepared for a fight.	Ми готові до суперечки.
We're running out of ideas.	У нас закінчуються ідеї.
We're running out of water.	У нас закінчується вода.
We're so happy you're here.	Ми такі раді, що ти тут.
We're trying to get better.	Ми намагаємось стати кращими.
We're trying to locate Tom.	Ми намагаємося знайти Тома.
We've been looking for Tom.	Ми шукаємо Тома.
We've been told what to do.	Нам сказали, що робити.
We've been waiting for Tom.	Ми чекали на Тома.
We've been waiting for Tom.	Ми чекаємо на Тома.
We've been working on this.	Ми над цим працюємо.
We've been working on this.	Ми працюємо над цим.
We've got to make a choice.	Ми маємо зробити вибір.
We've got very little time.	У нас дуже мало часу.
We've got very little time.	Ми маємо дуже мало часу.
We've ordered Chinese food.	Ми замовили китайську їжу.
We've resolved the problem.	Ми вирішили проблему.
We've seen what Tom can do.	Ми побачили, що Том може зробити.
We've seen what Tom can do.	Ми бачили, що може зробити Том.
We've sold all the tickets.	Ми продали всі квитки.
We've spent too much money.	Ми витратили забагато грошей.
We've spent too much money.	Ми витратили занадто багато грошей.
We've wasted a lot of time.	Ми змарнували багато часу.
Weird things are happening.	Трапляються дивні речі.
Well, I guess we should go.	Ну що ж, думаю, ми мусимо йти.
Were you at home yesterday?	Ти вчора був удома?
Were you at home yesterday?	Ти вчора була вдома?
Were you at home yesterday?	Ви вчора були вдома?
Were you forced to do that?	Тебе примусили це зробити?
Were you forced to do that?	Тебе примушували це робити?
Were you forced to do that?	Вас примусили це зробити?
Were you thinking about me?	Ти про мене думав?
Were you thinking about me?	Ти про мене думала?
Were you thinking about me?	Ви про мене думали?
Were you working last year?	Ти працював минулого року?
Were you working last year?	Ти працювала минулого року?
Were you working last year?	Ви працювали минулого року?
What Tom did was a mistake.	Те, що Том зробив, було помилкою.
What Tom did was dishonest.	Те, що зробив Том, було нечесно.
What a strange coincidence!	Який дивний збіг!
What a weird-looking place!	Яке дивне місце!
What about a glass of beer?	Як щодо келиха пива?
What am I going to do, Tom?	Що я робитиму, Томе?
What am I going to do, Tom?	Чим я займатимуся, Томе?
What an interesting theory!	Яка цікава теорія!
What are we doing that for?	Для чого ми це робимо?
What are you afraid of now?	Чого ти зараз боїшся?
What are you and Tom doing?	Що ви з Томом робите?
What are you and Tom doing?	Чим ви з Томом займаєтеся?
What are you and Tom up to?	Як поживаєте ви з Томом?
What are you doing tonight?	Що ви робите цього вечора?
What are you doing tonight?	Що ти робиш сьогодні ввечері?
What are you doing tonight?	Що ти будеш робити сьогодні ввечері?
What are you doing tonight?	Що ти робиш цього вечора?
What are you doing tonight?	Що ви робите сьогодні ввечері?
What are you doing tonight?	Чим ти займаєшся сьогодні ввечері?
What are you doing tonight?	Чим ви займаєтеся сьогодні ввечері?
What are you going to have?	Що їстимеш?
What are you going to have?	Що будеш пити?
What are you interested in?	Що тебе цікавить?
What are you interested in?	Що вас цікавить?
What are you interested in?	Чим ти цікавишся?
What are you interested in?	Чим ви цікавитеся?
What are you searching for?	Що ви шукаєте?
What are you searching for?	Що ти шукаєш?
What are you talking about?	Про що ви говорите!?
What are you worried about?	Що тебе турбує?
What are you writing about?	Про що ви пишете?
What browser are you using?	Який браузер ти використовуєш?
What browser are you using?	Який браузер ви використовуєте?
What can I do for you, sir?	Що я можу для вас зробити, пане?
What color car did you buy?	Ти купив машину якого кольору?
What color car did you buy?	Ти купила машину якого кольору?
What color car did you buy?	Ви купили машину якого кольору?
What color is your new car?	Якого кольору твоя нова машина?
What color is your new car?	Якого кольору ваша нова машина?
What did Tom do after that?	Що Том зробив після цього?
What did Tom do last night?	Що робив Том вчора ввечері?
What did Tom have to drink?	Що пив Том?
What did Tom have to drink?	Що мусив випити Том?
What did they hit you with?	Чим вас ударили?
What did you buy in Boston?	Що ти купив у Бостоні?
What did you buy in Boston?	Що ти купила в Бостоні?
What did you buy in Boston?	Що ви купили в Бостоні?
What did you do last night?	Що ти робив вчора ввечері?
What did you do last night?	Що ти робила вчора ввечері?
What did you do last night?	Що ви робили вчора ввечері?
What did you do last night?	Чим ти займався вчора ввечері?
What did you do last night?	Чим ти займалася вчора ввечері?
What did you do last night?	Чим ви займалися вчора ввечері?
What did you do last night?	Що ти робив учора ввечері?
What did you do last night?	Що ти робила учора ввечері?
What did you name your son?	Як ти назвав свого сина?
What did you name your son?	Як ти назвала свого сина?
What did you name your son?	Як ти назвав сина?
What did you name your son?	Як ти назвала сина?
What did you name your son?	Як ви назвали сина?
What did you see in Boston?	Що ти бачив у Бостоні?
What did you see in Boston?	Що ви бачили у Бостоні?
What did you want us to do?	Що ти хотів, щоб ми зробили?
What did you want us to do?	Що ти хотіла, щоб ми зробили?
What do they want us to do?	Що вони він нас хочуть?
What do they want us to do?	Що вони хочуть, щоб ми зробили?
What do they want us to do?	Що він або вона хоче, щоб ми зробили?
What do you call this bird?	Як називається цей птах?
What do you expect from us?	Чого ти від нас очікуєш?
What do you expect from us?	Чого ви від нас очікуєте?
What do you like about Tom?	Що тобі подобається в Томі?
What do you like about Tom?	Що вам подобається в Томі?
What do you like about her?	Що тобі в ній подобається?
What do you think about it?	Що ви про це думаєте?
What do you think about it?	Що ти про це думаєш?
What do you think happened?	Що, на твою думку, сталося?
What do you think happened?	Що, на твою думку, трапилося?
What do you think happened?	Що, на вашу думку, сталося?
What do you think happened?	Що, на вашу думку, трапилося?
What do you think of Japan?	Що ти думаєш про Японію?
What do you think of Japan?	Що ви думаєте про Японію?
What do you want Tom to do?	Що ви хочете, щоб Том зробив?
What do you want Tom to do?	Що ти хочеш, щоб Том зробив?
What do you want for lunch?	Що ти хочеш на обід?
What do you want from life?	Що тобі потрібно від життя?
What do you want me to say?	Що ви хочете, щоб я сказала?
What do you want me to say?	Що ти хочеш, щоб я сказав?
What do you want to become?	Ким ти хочеш стати?
What does G.N.P. stand for?	Що означає "ВНП"?
What does Tom really think?	Що Том насправді думає?
What does Tom really think?	Що Том насправді вважає?
What does Tom want from me?	Чого Том від мене хоче?
What does Tom want from me?	Що Том від мене хоче?
What does all of this mean?	Що це все означає?
What does it actually mean?	Що це означає насправді?
What else can you remember?	Що ще ти пам'ятаєш?
What else do we have to do?	Що ще ми маємо зробити?
What exactly are you doing?	Що саме ти робиш?
What exactly are you doing?	Що саме ви робите?
What exactly does Tom need?	Що саме потрібно Тому?
What happened to the money?	Що сталося з грошима?
What happened to your foot?	Що трапилося з твоєю ногою?
What happened was horrible.	Те, що трапилося, було жахливим.
What happened was horrible.	Те, що сталося, було жахливим.
What have they done to Tom?	Що вони зробили з Томом?
What have they done to you?	Що вони з тобою зробили?
What have they done to you?	Що вони з вами зробили?
What have we really gained?	Що ми насправді здобули?
What have you come up with?	Що ти придумав?
What have you come up with?	Що ти придумала?
What have you come up with?	Що ви придумали?
What inspires you the most?	Що тебе найбільше надихає?
What inspires you the most?	Що вас найбільше надихає?
What is the correct answer?	Яка правильна відповідь?
What is the price for this?	Скільки це коштує?
What is your date of birth?	Яка в тебе дата народження?
What is your date of birth?	Яка у вас дата народження?
What is your mother tongue?	Яка у вас рідна мова?
What is your mother tongue?	Яка твоя рідна мова?
What kind of cloud is that?	Що це за тип хмари?
What kind of stone is this?	Що це за камінь?
What languages do you know?	Які ти знаєш мови?
What languages do you know?	Які ви знаєте мови?
What newspaper do you read?	Яку газету ти читаєш?
What newspaper do you read?	Яку газету ви читаєте?
What on earth is happening?	Заради всього святого, що коїться?
What planet do you live on?	На якій планеті ти живеш?
What problems did you find?	Які ти знайшов проблеми?
What problems did you find?	Які ти знайшла проблеми?
What problems did you find?	Які ви знайшли проблеми?
What should we do now, Tom?	Що нам тепер робити, Томе?
What should we do with Tom?	Що нам робити з Томом?
What souvenirs did you buy?	Які ти купив сувеніри?
What souvenirs did you buy?	Які ти купила сувеніри?
What souvenirs did you buy?	Які ви купили сувеніри?
What time did you get back?	Коли ти повернувся?
What time did you get back?	Коли ви повернулися?
What time did you get back?	Коли ти повернулася?
What time did you get back?	О котрій ти повернувся?
What time did you get back?	О котрій ти повернулася?
What time did you get back?	О котрій ви повернулися?
What time did you get back?	О котрій годині ти повернувся?
What time did you get back?	О котрій годині ти повернулася?
What time did you get back?	О котрій годині ви повернулися?
What time did you get home?	О котрій годині ти повернувся додому?
What time did you get home?	О котрій годині ти повернулася додому?
What time did you get home?	О котрій годині ви повернулися додому?
What time do we start work?	О котрій годині ми починаємо працювати?
What time do you go to bed?	О котрій годині ти лягаєш спати?
What time do you go to bed?	О котрій годині ви лягаєте спати?
What time is it over there?	Котра там година?
What were we talking about?	Про що ми розмовляли?
What were you going to say?	Що ти збирався сказати?
What were you going to say?	Що ти збиралася сказати?
What were you going to say?	Що ви збиралися сказати?
What will they do with Tom?	Що вони зроблять із Томом?
What will you do on Friday?	Що робитимеш у п'ятницю?
What would Tom and Mary do?	Що зробили би Том та Мері?
What would Tom and Mary do?	А що зробили би Том та Мері?
What would you like to buy?	Що б ви хотіли купити?
What would you like to buy?	Що б ти хотів купити?
What would you like to eat?	Як щодо того, щоб поїсти?
What would you like to eat?	Чого б ви хотіли поїсти?
What would you like to eat?	Що б ви хотіли з'їсти?
What you did was dishonest.	Те, що ти зробив, було нечесно.
What you did was dishonest.	Те, що ти зробила, було нечесно.
What you did was dishonest.	Те, що ви зробили, було нечесно.
What you said surprised me.	Мене здивувало те, що ти сказав.
What're you planning to do?	Що ти плануєш зробити?
What're you planning to do?	Що ви плануєте зробити?
What're you planning to do?	Що ти збираєшся робити?
What're you thinking about?	Про що ти думаєш?
What're you thinking about?	Про що думаєш?
What's Tom doing in Boston?	Чим Том займається в Бостоні?
What's Tom doing in Boston?	Що Том робить у Бостоні?
What's Tom doing with that?	Що з цим робить Том?
What's Tom going to do now?	Що Том збирається робити тепер?
What's Tom up to in Boston?	Чим Том займається в Бостоні?
What's so weird about this?	Що тут такого дивного?
What's that under your arm?	Що це під твоєю рукою?
What's the matter with you?	Що з тобою таке?
What's the matter with you?	Що з вами таке?
What's the meaning of life?	У чому сенс життя?
What's the meaning of that?	Що це означає?
What's the temperature now?	Яка зараз температура?
What's this thing used for?	Для чого використовується ця штука?
What's wrong with that one?	Що з оцим не так?
What's your favorite color?	Який твій улюблений колір?
What's your favorite color?	Який у тебе улюблений колір?
What's your favorite drink?	Який у тебе улюблений напій?
What's your favorite fruit?	Який у тебе улюблений фрукт?
What's your favorite fruit?	Який у вас улюблений фрукт?
What's your favorite month?	Який твій улюблений місяць?
What's your favorite month?	Який ваш улюблений місяць?
What's your favorite novel?	Який твій улюблений роман?
What's your favorite snack?	Яка твоя улюблена закуска?
What's your husband's name?	Як звати твого чоловіка?
What's your marital status?	Який твій сімейний стан?
What's your marital status?	Який ваш сімейний стан?
What's your opinion of Tom?	Що ти думаєш про Тома?
What's your opinion of Tom?	Якої ти думки про Тома?
What's your opinion of Tom?	Якої ви думки про Тома?
What's your opinion of Tom?	Що ви думаєте про Тома?
When are you going to work?	Ти коли йдеш на роботу?
When are you going to work?	Коли ти працюватимеш?
When did Tom agree to help?	Коли Том погодився допомогти?
When did Tom buy his house?	Коли Том купив свій будинок?
When did Tom finally leave?	Коли Том нарешті поїхав?
When did you come to Japan?	Коли ти приїхав до Японії?
When did you come to Japan?	Коли ви приїхали до Японії?
When did you come to Japan?	Коли ти приїхала до Японії?
When did you get to London?	Коли ти приїхав до Лондона?
When did you get to London?	Коли ви приїхали до Лондона?
When did you learn to read?	Де ти навчився читати?
When did you learn to read?	Де ти навчилася читати?
When did you learn to read?	Де ви навчилися читати?
When did you learn to swim?	Коли ти навчився плавати?
When did you learn to swim?	Коли ти навчилася плавати?
When did you pass the exam?	Коли ти здав екзамен?
When did you pass the exam?	Коли ти здала екзамен?
When did you pass the exam?	Коли ви здали екзамен?
When did you seed the lawn?	Коли ти засіяв газон?
When did you seed the lawn?	Коли ти засіяла газон?
When did you take the exam?	Коли ти здавав екзамен?
When did you take the exam?	Коли ви здавали екзамен?
When did you wake up today?	Коли ти сьогодні прокинувся?
When do we have to do that?	Коли ми маємо це зробити?
When do we need to do that?	Коли нам потрібно це зробити?
When do you usually get up?	Коли ти зазвичай прокидаєшся?
When was this temple built?	Коли був побудований цей храм?
When was this temple built?	Коли було збудовано цей храм?
When were you in Australia?	Коли ти був у Австралії?
When were you in Australia?	Коли ти була в Австралії?
When were you in Australia?	Коли ви були в Австралії?
When will Tom do that next?	Коли Том робитиме це наступного разу?
When will Tom do that next?	Коли Том зробить це наступного разу?
When will you be in Boston?	Коли ти будеш у Бостоні?
When will you be in Boston?	Коли ви будете в Бостоні?
When would you like to eat?	Коли ти б хотів поїсти?
When would you like to eat?	Коли ти б хотіла поїсти?
When would you like to eat?	Коли ви б хотіли поїсти?
Where are the strawberries?	Де полуниця?
Where can I get my baggage?	Де я можу отримати свiй багаж?
Where did Tom get that tan?	Де Том так засмаг?
Where did Tom put the keys?	Куди Том поклав ключі?
Where did all the bread go?	Куди зник увесь хліб?
Where did all the money go?	Куди поділися всі гроші?
Where did you find the key?	Де ви знайшли ключ?
Where did you find the key?	Де ти знайшов ключ?
Where did you get this car?	Де ти взяла цю машину?
Where did you get this car?	Де ти взяв цю машину?
Where did you get this car?	Де ви взяли цю машину?
Where did you go yesterday?	Куди ти вчора ходив?
Where did you learn French?	Де ти вивчив французьку?
Where did you learn French?	Де ви вивчили французьку?
Where did you learn French?	Де ти вчив французьку?
Where did you learn French?	Де ви вчили французьку?
Where did you park the car?	Де ви припаркувалися?
Where do you intend to eat?	Де ти маєш намір попоїсти?
Where do you know him from?	Звідки ти його знаєш?
Where do you know him from?	Звідки ви його знаєте?
Where does Tom really work?	Де Том працює насправді?
Where does Tom really work?	Де насправді працює Том?
Where does your uncle live?	Де живе твій дядько?
Where exactly are we going?	Куди саме ми йдемо?
Where exactly are we going?	Куди саме ми їдемо?
Where have you been living?	Де ти живеш?
Where is the changing room?	Де роздягальня?
Where is the closest store?	Де знаходиться найближчий магазин?
Where is the closest store?	Де найближчий магазин?
Where is the train station?	Де залізничний вокзал?
Where is the train station?	Де залізнична станція?
Where is the train station?	Де вокзал?
Where is the train station?	Де знаходиться вокзал?
Where is there a drugstore?	Де аптека?
Where is there a telephone?	Де тут є телефон?
Where were you last Monday?	Де ти був минулого понеділка?
Where were you last summer?	Де ти був минулого літа?
Where were you last summer?	Де ви були минулого літа?
Where were you last summer?	Де ти була минулого літа?
Where will you be tomorrow?	Де ти будеш завтра?
Where will you be tomorrow?	Де ви будете завтра?
